"id","code","afip_code","name","country_id/id"
"base.state_ar_a","A","9","Salta","base.ar"
"base.state_ar_b","B","1","Buenos Aires","base.ar"
"base.state_ar_c","C","0","Buenos Aires Ciudad","base.ar"
"base.state_ar_d","D","11","San Luis","base.ar"
"base.state_ar_e","E","5","Ente Ríos","base.ar"
"base.state_ar_f","F","8","La Rioja","base.ar"
"base.state_ar_g","G","13","Santiago Del Estero","base.ar"
"base.state_ar_h","H","16","Chaco","base.ar"
"base.state_ar_j","J","10","San Juan","base.ar"
"base.state_ar_k","K","2","Catamarca","base.ar"
"base.state_ar_l","L","21","La Pampa","base.ar"
"base.state_ar_m","M","7","Mendoza","base.ar"
"base.state_ar_n","N","19","Misiones","base.ar"
"base.state_ar_p","P","18","Formosa","base.ar"
"base.state_ar_q","Q","20","Neuquén","base.ar"
"base.state_ar_r","R","22","Río Negro","base.ar"
"base.state_ar_s","S","12","Santa Fe","base.ar"
"base.state_ar_t","T","14","Tucumán","base.ar"
"base.state_ar_u","U","17","Chubut","base.ar"
"base.state_ar_v","V","24","Tierra del Fuego","base.ar"
"base.state_ar_w","W","4","Corrientes","base.ar"
"base.state_ar_x","X","3","Córdoba","base.ar"
"base.state_ar_y","Y","6","Jujuy","base.ar"
"base.state_ar_z","Z","23","Santa Cruz","base.ar"
